onet_soc_code,ai_exposure,ai_sim_raw,automation_sim_raw,n_rows_used,soc_2018,title,text_len
43-9041.00,0.19357457756996155,0.33082154393196106,0.25039246678352356,29,43-9041,Insurance Claims and Policy Processing Clerks,
19-3041.00,0.19349609315395355,0.33747273683547974,0.23446416854858398,40,19-3041,Sociologists,
17-2051.02,0.19289162755012512,0.35287708044052124,0.3356359004974365,51,17-2051,Water/Wastewater Engineers,
11-9179.02,0.19267334043979645,0.34039729833602905,0.20832426846027374,36,11-9179,Spa Managers,
25-1122.00,0.19181492924690247,0.3532863259315491,0.2257167398929596,36,25-1122,"Communications Teachers, Postsecondary",
27-2022.00,0.19151370227336884,0.3385935127735138,0.18781962990760803,39,27-2022,Coaches and Scouts,
23-1012.00,0.19148530066013336,0.2756975591182709,0.22128644585609436,35,23-1012,Judicial Law Clerks,
13-2053.00,0.19137310981750488,0.351607084274292,0.24789443612098694,29,13-2053,Insurance Underwriters,
11-3013.00,0.19124095141887665,0.35843831300735474,0.3262966275215149,50,11-3013,Facilities Managers,
19-1012.00,0.1908363401889801,0.36954593658447266,0.21058444678783417,23,19-1012,Food Scientists and Technologists,
25-1061.00,0.18989571928977966,0.35240983963012695,0.2314823418855667,36,25-1061,"Anthropology and Archeology Teachers, Postsecondary",
25-2031.00,0.18975523114204407,0.3435893952846527,0.18397563695907593,24,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",
11-9033.00,0.18963198363780975,0.3746829032897949,0.2376173436641693,59,11-9033,"Education Administrators, Postsecondary",
17-1021.00,0.18931886553764343,0.331099271774292,0.26652589440345764,74,17-1021,Cartographers and Photogrammetrists,
29-2061.00,0.18920984864234924,0.3126184344291687,0.24264375865459442,28,29-2061,Licensed Practical and Licensed Vocational Nurses,
31-9092.00,0.18904490768909454,0.3217788338661194,0.20384451746940613,34,31-9092,Medical Assistants,
17-2199.07,0.188935786485672,0.33412957191467285,0.285370796918869,52,17-2199,Photonics Engineers,
25-1052.00,0.188820943236351,0.35240983963012695,0.2291310727596283,28,25-1052,"Chemistry Teachers, Postsecondary",
25-3041.00,0.18880817294120789,0.34045565128326416,0.17523150146007538,24,25-3041,Tutors,
